dataset_id,platform,cdn_prefix,sample,counts_url,counts_bytes,spatial_url,spatial_bytes,image_url,image_bytes,binned_url,binned_bytes,skip_reason
tenx_preservation_method_comparison_on_visium_cyt_2,Visium,https://cf.10xgenomics.com/samples/spatial-exp/2.1.0/CytAssist_Fresh_Frozen_Sagittal_Mouse_Brain/CytAssist_Fresh_Frozen_Sagittal_Mouse_Brain,CytAssist_Fresh_Frozen_Sagittal_Mouse_Brain,https://cf.10xgenomics.com/samples/spatial-exp/2.1.0/CytAssist_Fresh_Frozen_Sagittal_Mouse_Brain/CytAssist_Fresh_Frozen_Sagittal_Mouse_Brain_filtered_feature_bc_matrix.h5,51662006,https://cf.10xgenomics.com/samples/spatial-exp/2.1.0/CytAssist_Fresh_Frozen_Sagittal_Mouse_Brain/CytAssist_Fresh_Frozen_Sagittal_Mouse_Brain_spatial.tar.gz,32637161,https://cf.10xgenomics.com/samples/spatial-exp/2.1.0/CytAssist_Fresh_Frozen_Sagittal_Mouse_Brain/CytAssist_Fresh_Frozen_Sagittal_Mouse_Brain_tissue_image.tif,5152823762,,0,
tenx_preservation_method_comparison_on_visium_cyt_3,Visium,https://cf.10xgenomics.com/samples/spatial-exp/2.1.0/CytAssist_FFPE_Sagittal_Mouse_Brain/CytAssist_FFPE_Sagittal_Mouse_Brain,CytAssist_FFPE_Sagittal_Mouse_Brain,https://cf.10xgenomics.com/samples/spatial-exp/2.1.0/CytAssist_FFPE_Sagittal_Mouse_Brain/CytAssist_FFPE_Sagittal_Mouse_Brain_filtered_feature_bc_matrix.h5,49368890,https://cf.10xgenomics.com/samples/spatial-exp/2.1.0/CytAssist_FFPE_Sagittal_Mouse_Brain/CytAssist_FFPE_Sagittal_Mouse_Brain_spatial.tar.gz,35584792,https://cf.10xgenomics.com/samples/spatial-exp/2.1.0/CytAssist_FFPE_Sagittal_Mouse_Brain/CytAssist_FFPE_Sagittal_Mouse_Brain_tissue_image.tif,6649426708,,0,
tenx_visium_cytassist_gene_expression_libraries_o,Visium,https://cf.10xgenomics.com/samples/spatial-exp/2.1.0/CytAssist_FFPE_Human_Colon_Post_Xenium_Rep2/CytAssist_FFPE_Human_Colon_Post_Xenium_Rep2,CytAssist_FFPE_Human_Colon_Post_Xenium_Rep2,https://cf.10xgenomics.com/samples/spatial-exp/2.1.0/CytAssist_FFPE_Human_Colon_Post_Xenium_Rep2/CytAssist_FFPE_Human_Colon_Post_Xenium_Rep2_filtered_feature_bc_matrix.h5,26162269,https://cf.10xgenomics.com/samples/spatial-exp/2.1.0/CytAssist_FFPE_Human_Colon_Post_Xenium_Rep2/CytAssist_FFPE_Human_Colon_Post_Xenium_Rep2_spatial.tar.gz,37499951,https://cf.10xgenomics.com/samples/spatial-exp/2.1.0/CytAssist_FFPE_Human_Colon_Post_Xenium_Rep2/CytAssist_FFPE_Human_Colon_Post_Xenium_Rep2_tissue_image.btf,3287434897,,0,
tenx_visium_cytassist_gene_expression_libraries_o_2,Visium,https://cf.10xgenomics.com/samples/spatial-exp/2.1.0/CytAssist_FreshFrozen_Mouse_Brain_Rep1/CytAssist_FreshFrozen_Mouse_Brain_Rep1,CytAssist_FreshFrozen_Mouse_Brain_Rep1,https://cf.10xgenomics.com/samples/spatial-exp/2.1.0/CytAssist_FreshFrozen_Mouse_Brain_Rep1/CytAssist_FreshFrozen_Mouse_Brain_Rep1_filtered_feature_bc_matrix.h5,37578242,https://cf.10xgenomics.com/samples/spatial-exp/2.1.0/CytAssist_FreshFrozen_Mouse_Brain_Rep1/CytAssist_FreshFrozen_Mouse_Brain_Rep1_spatial.tar.gz,35164883,https://cf.10xgenomics.com/samples/spatial-exp/2.1.0/CytAssist_FreshFrozen_Mouse_Brain_Rep1/CytAssist_FreshFrozen_Mouse_Brain_Rep1_tissue_image.btf,2640988662,,0,
tenx_visium_cytassist_mouse_embryo_11_mm_capture_,Visium,https://cf.10xgenomics.com/samples/spatial-exp/2.1.0/CytAssist_11mm_FFPE_Mouse_Embryo/CytAssist_11mm_FFPE_Mouse_Embryo,CytAssist_11mm_FFPE_Mouse_Embryo,https://cf.10xgenomics.com/samples/spatial-exp/2.1.0/CytAssist_11mm_FFPE_Mouse_Embryo/CytAssist_11mm_FFPE_Mouse_Embryo_filtered_feature_bc_matrix.h5,61943842,https://cf.10xgenomics.com/samples/spatial-exp/2.1.0/CytAssist_11mm_FFPE_Mouse_Embryo/CytAssist_11mm_FFPE_Mouse_Embryo_spatial.tar.gz,36799934,https://cf.10xgenomics.com/samples/spatial-exp/2.1.0/CytAssist_11mm_FFPE_Mouse_Embryo/CytAssist_11mm_FFPE_Mouse_Embryo_tissue_image.tif,7023040250,,0,
tenx_visium_v2_human_lymph_node,Visium,https://cf.10xgenomics.com/samples/spatial-exp/3.1.3/Visium_V2_Human_Lymph_Node/Visium_V2_Human_Lymph_Node,Visium_V2_Human_Lymph_Node,https://cf.10xgenomics.com/samples/spatial-exp/3.1.3/Visium_V2_Human_Lymph_Node/Visium_V2_Human_Lymph_Node_filtered_feature_bc_matrix.h5,34548585,https://cf.10xgenomics.com/samples/spatial-exp/3.1.3/Visium_V2_Human_Lymph_Node/Visium_V2_Human_Lymph_Node_spatial.tar.gz,35139119,https://cf.10xgenomics.com/samples/spatial-exp/3.1.3/Visium_V2_Human_Lymph_Node/Visium_V2_Human_Lymph_Node_tissue_image.tif,8499142850,,0,
tenx_visium_hd_cytassist_11mm_human_breast_cancer,Visium HD,https://cf.10xgenomics.com/samples/spatial-exp/4.1.0/Visium_HD_11mm_Human_Breast_Cancer/Visium_HD_11mm_Human_Breast_Cancer,Visium_HD_11mm_Human_Breast_Cancer,,0,,0,https://cf.10xgenomics.com/samples/spatial-exp/4.1.0/Visium_HD_11mm_Human_Breast_Cancer/Visium_HD_11mm_Human_Breast_Cancer_tissue_image.btf,5739510784,https://cf.10xgenomics.com/samples/spatial-exp/4.1.0/Visium_HD_11mm_Human_Breast_Cancer/Visium_HD_11mm_Human_Breast_Cancer_binned_outputs.tar.gz,25773911640,
tenx_visium_hd_cytassist_11mm_human_breast_cancer_2,Visium HD,https://cf.10xgenomics.com/samples/spatial-exp/4.1.0/Visium_HD_11mm_Human_Breast_Cancer_TMA/Visium_HD_11mm_Human_Breast_Cancer_TMA,Visium_HD_11mm_Human_Breast_Cancer_TMA,,0,,0,https://cf.10xgenomics.com/samples/spatial-exp/4.1.0/Visium_HD_11mm_Human_Breast_Cancer_TMA/Visium_HD_11mm_Human_Breast_Cancer_TMA_tissue_image.btf,24486762842,https://cf.10xgenomics.com/samples/spatial-exp/4.1.0/Visium_HD_11mm_Human_Breast_Cancer_TMA/Visium_HD_11mm_Human_Breast_Cancer_TMA_binned_outputs.tar.gz,15354506868,
tenx_visium_hd_cytassist_11mm_human_pancreas,Visium HD,https://cf.10xgenomics.com/samples/spatial-exp/4.1.0/Visium_HD_11mm_Human_Pancreas/Visium_HD_11mm_Human_Pancreas,Visium_HD_11mm_Human_Pancreas,,0,,0,https://cf.10xgenomics.com/samples/spatial-exp/4.1.0/Visium_HD_11mm_Human_Pancreas/Visium_HD_11mm_Human_Pancreas_tissue_image.btf,4651858768,https://cf.10xgenomics.com/samples/spatial-exp/4.1.0/Visium_HD_11mm_Human_Pancreas/Visium_HD_11mm_Human_Pancreas_binned_outputs.tar.gz,30470696327,
tenx_visium_hd_cytassist_11mm_mouse_embryo,Visium HD,https://cf.10xgenomics.com/samples/spatial-exp/4.1.0/Visium_HD_11mm_Mouse_Embryo/Visium_HD_11mm_Mouse_Embryo,Visium_HD_11mm_Mouse_Embryo,,0,,0,https://cf.10xgenomics.com/samples/spatial-exp/4.1.0/Visium_HD_11mm_Mouse_Embryo/Visium_HD_11mm_Mouse_Embryo_tissue_image.btf,5209447689,https://cf.10xgenomics.com/samples/spatial-exp/4.1.0/Visium_HD_11mm_Mouse_Embryo/Visium_HD_11mm_Mouse_Embryo_binned_outputs.tar.gz,27277539261,
