folder_name,sample,study,dataset_id,data_access_link,species,organism_ontology_term_id,assay,assay_ontology_term_id,tissue,tissue_ontology_term_id,sex,sex_ontology_term_id,age_num,age_unit,age_group,development_stage_ontology_term_id,disease_level1,disease_level2,disease_level3,disease_ontology_term_id_level1,disease_ontology_term_id_level2,disease_ontology_term_id_level3,self_reported_ethnicity_ontology_term_id,source,raw_on_farm,download_url,H&E_on_farm
Xenium_V1_hBoneMarrow_nondiseased_section,Xenium Human Bone 1 - Non-diseased Bone Marrow,Human Bone and Bone Marrow Data with Custom Add-on Panel,37,https://www.10xgenomics.com/datasets/human-bone-and-bone-marrow-data-with-custom-add-on-panel-1-standard,homo_sapiens,NCBITaxon:9606,xenium,EFO:0022615,bone,UBERON:0002481,na,unknown,,,,HsapDv:0000258,healthy,healthy,healthy,PATO:0000461,PATO:0000461,PATO:0000461,unknown,online,/lustre/scratch126/cellgen/team361/bc8/cytoweave/nichejepa/original_files/Xenium_V1_hBoneMarrow_nondiseased_section,https://cf.10xgenomics.com/samples/xenium/1.9.0/Xenium_V1_hBoneMarrow_nondiseased_section/Xenium_V1_hBoneMarrow_nondiseased_section_outs.zip,
Xenium_V1_hBone_nondiseased_section,Xenium Human Bone 1 - Non-diseased Femur Bone,Human Bone and Bone Marrow Data with Custom Add-on Panel,37,https://www.10xgenomics.com/datasets/human-bone-and-bone-marrow-data-with-custom-add-on-panel-1-standard,homo_sapiens,NCBITaxon:9606,xenium,EFO:0022615,bone,UBERON:0002481,na,unknown,,,,HsapDv:0000258,healthy,healthy,healthy,PATO:0000461,PATO:0000461,PATO:0000461,unknown,online,/lustre/scratch126/cellgen/team361/bc8/cytoweave/nichejepa/original_files/Xenium_V1_hBone_nondiseased_section,https://cf.10xgenomics.com/samples/xenium/1.9.0/Xenium_V1_hBone_nondiseased_section/Xenium_V1_hBone_nondiseased_section_outs.zip,
Xenium_V1_hColon_Non_diseased_Base_FFPE,"Xenium Human Colon 1 - Non-diseased, pre-designed panel",Human Colon Preview Data (Xenium Human Colon Gene Expression Panel),38,https://www.10xgenomics.com/datasets/human-colon-preview-data-xenium-human-colon-gene-expression-panel-1-standard,homo_sapiens,NCBITaxon:9606,xenium,EFO:0022615,colon,UBERON:0001155,na,unknown,,,,HsapDv:0000258,healthy,healthy,healthy,PATO:0000461,PATO:0000461,PATO:0000461,unknown,online,/lustre/scratch126/cellgen/team361/bc8/cytoweave/nichejepa/original_files/Xenium_V1_hColon_Non_diseased_Base_FFPE,https://cf.10xgenomics.com/samples/xenium/1.6.0/Xenium_V1_hColon_Non_diseased_Base_FFPE/Xenium_V1_hColon_Non_diseased_Base_FFPE_outs.zip,
Xenium_V1_hColon_Non_diseased_Add_on_FFPE,"Xenium Human Colon 1 - Non-diseased, pre-designed + add-on panel",Human Colon Preview Data (Xenium Human Colon Gene Expression Panel),38,https://www.10xgenomics.com/datasets/human-colon-preview-data-xenium-human-colon-gene-expression-panel-1-standard,homo_sapiens,NCBITaxon:9606,xenium,EFO:0022615,colon,UBERON:0001155,na,unknown,,,,HsapDv:0000258,healthy,healthy,healthy,PATO:0000461,PATO:0000461,PATO:0000461,unknown,online,/lustre/scratch126/cellgen/team361/bc8/cytoweave/nichejepa/original_files/Xenium_V1_hColon_Non_diseased_Add_on_FFPE,https://cf.10xgenomics.com/samples/xenium/1.6.0/Xenium_V1_hColon_Non_diseased_Add_on_FFPE/Xenium_V1_hColon_Non_diseased_Add_on_FFPE_outs.zip,
Xenium_V1_hColon_Cancer_Base_FFPE,"Xenium Human Colon 1 - Cancer, pre-designed panel",Human Colon Preview Data (Xenium Human Colon Gene Expression Panel),38,https://www.10xgenomics.com/datasets/human-colon-preview-data-xenium-human-colon-gene-expression-panel-1-standard,homo_sapiens,NCBITaxon:9606,xenium,EFO:0022615,colon,UBERON:0001155,na,unknown,,,,HsapDv:0000258,cancer,colorectal_cancer,colon_adenocarcinoma,MONDO:0004992,MONDO:0005575,MONDO:0002271,unknown,online,/lustre/scratch126/cellgen/team361/bc8/cytoweave/nichejepa/original_files/Xenium_V1_hColon_Cancer_Base_FFPE,https://s3-us-west-2.amazonaws.com/10x.files/samples/xenium/1.6.0/Xenium_V1_hColon_Cancer_Base_FFPE/Xenium_V1_hColon_Cancer_Base_FFPE_outs.zip,
Xenium_V1_hColon_Cancer_Add_on_FFPE,"Xenium Human Colon 1 - Cancer, pre-designed + add-on panel",Human Colon Preview Data (Xenium Human Colon Gene Expression Panel),38,https://www.10xgenomics.com/datasets/human-colon-preview-data-xenium-human-colon-gene-expression-panel-1-standard,homo_sapiens,NCBITaxon:9606,xenium,EFO:0022615,colon,UBERON:0001155,na,unknown,,,,HsapDv:0000258,cancer,colorectal_cancer,colon_adenocarcinoma,MONDO:0004992,MONDO:0005575,MONDO:0002271,unknown,online,/lustre/scratch126/cellgen/team361/bc8/cytoweave/nichejepa/original_files/Xenium_V1_hColon_Cancer_Add_on_FFPE,https://s3-us-west-2.amazonaws.com/10x.files/samples/xenium/1.6.0/Xenium_V1_hColon_Cancer_Add_on_FFPE/Xenium_V1_hColon_Cancer_Add_on_FFPE_outs.zip,
Xenium_V1_hKidney_cancer_section,Xenium Human Kidney 1 - Kidney Cancer,Xenium Human Kidney 1,39,https://www.10xgenomics.com/datasets/human-kidney-preview-data-xenium-human-multi-tissue-and-cancer-panel-1-standard,homo_sapiens,NCBITaxon:9606,xenium,EFO:0022615,kidney,UBERON:0002113,na,unknown,,,,HsapDv:0000258,cancer,kidney_cancer,papillary_renal_cell_carcinoma,MONDO:0004992,MONDO:0002367,MONDO:0017884,unknown,online,/lustre/scratch126/cellgen/team361/bc8/cytoweave/nichejepa/original_files/Xenium_V1_hKidney_cancer_section,https://cf.10xgenomics.com/samples/xenium/1.5.0/Xenium_V1_hKidney_cancer_section/Xenium_V1_hKidney_cancer_section_outs.zip,
Xenium_V1_hKidney_nondiseased_section,Xenium Human Kidney 1 - Non-diseased,Xenium Human Kidney 1,39,https://www.10xgenomics.com/datasets/human-kidney-preview-data-xenium-human-multi-tissue-and-cancer-panel-1-standard,homo_sapiens,NCBITaxon:9606,xenium,EFO:0022615,kidney,UBERON:0002113,na,unknown,,,,HsapDv:0000258,healthy,healthy,healthy,PATO:0000461,PATO:0000461,PATO:0000461,unknown,online,/lustre/scratch126/cellgen/team361/bc8/cytoweave/nichejepa/original_files/Xenium_V1_hKidney_nondiseased_section,https://cf.10xgenomics.com/samples/xenium/1.5.0/Xenium_V1_hKidney_nondiseased_section/Xenium_V1_hKidney_nondiseased_section_outs.zip,
Xenium_V1_hLiver_nondiseased_section_FFPE,Xenium Human Liver 1 - Non-diseased,Xenium Human Liver 1,40,https://www.10xgenomics.com/datasets/human-liver-data-xenium-human-multi-tissue-and-cancer-panel-1-standard,homo_sapiens,NCBITaxon:9606,xenium,EFO:0022615,liver,UBERON:0002107,na,unknown,,,,HsapDv:0000258,healthy,healthy,healthy,PATO:0000461,PATO:0000461,PATO:0000461,unknown,online,/lustre/scratch126/cellgen/team361/bc8/cytoweave/nichejepa/original_files/Xenium_V1_hLiver_nondiseased_section_FFPE,https://cf.10xgenomics.com/samples/xenium/1.9.0/Xenium_V1_hLiver_nondiseased_section_FFPE/Xenium_V1_hLiver_nondiseased_section_FFPE_outs.zip,
Xenium_V1_hLiver_cancer_section_FFPE,Xenium Human Liver 1 - Liver Cancer,Xenium Human Liver 1,40,https://www.10xgenomics.com/datasets/human-liver-data-xenium-human-multi-tissue-and-cancer-panel-1-standard,homo_sapiens,NCBITaxon:9606,xenium,EFO:0022615,liver,UBERON:0002107,na,unknown,,,,HsapDv:0000258,cancer,liver_cancer,liver_cancer,MONDO:0004992,MONDO:0002691,MONDO:0002691,unknown,online,/lustre/scratch126/cellgen/team361/bc8/cytoweave/nichejepa/original_files/Xenium_V1_hLiver_cancer_section_FFPE,https://cf.10xgenomics.com/samples/xenium/1.9.0/Xenium_V1_hLiver_cancer_section_FFPE/Xenium_V1_hLiver_cancer_section_FFPE_outs.zip,
