dataset_id,hubmap_id,tissue,layout,bytes,files,sprm_derivative,skip_reason
hubmap_hbm479_jzmh_487_unspecified_uterus_na,HBM479.JZMH.487,Uterus,sprm_derivative,778498295,121,,"HuBMAP DeepCell + SPRM re-processing of HBM838.VLBV.829; SPRM layout, the CODEX/PhenoCycler adapter's domain, and the same section"
hubmap_hbm482_tcwk_632_unspecified_uterus_na,HBM482.TCWK.632,Uterus,sprm_derivative,874320388,121,,"HuBMAP DeepCell + SPRM re-processing of HBM994.PDJN.987; SPRM layout, the CODEX/PhenoCycler adapter's domain, and the same section"
hubmap_hbm487_bvpm_787_unspecified_uterus_na,HBM487.BVPM.787,Uterus,sprm_derivative,805974105,121,,"HuBMAP DeepCell + SPRM re-processing of HBM253.PQVP.942; SPRM layout, the CODEX/PhenoCycler adapter's domain, and the same section"
hubmap_hbm487_zctd_796_unspecified_uterus_na,HBM487.ZCTD.796,Uterus,sprm_derivative,793175499,121,,"HuBMAP DeepCell + SPRM re-processing of HBM463.SQHJ.376; SPRM layout, the CODEX/PhenoCycler adapter's domain, and the same section"
hubmap_hbm488_lpfg_595_unspecified_uterus_na,HBM488.LPFG.595,Uterus,sprm_derivative,691870854,121,,"HuBMAP DeepCell + SPRM re-processing of HBM257.TFFM.796; SPRM layout, the CODEX/PhenoCycler adapter's domain, and the same section"
hubmap_hbm495_vspl_665_mibi_bone_marrow_protein,HBM495.VSPL.665,Bone Marrow,image_only,1105731973,9,,lab-processed image only: no segmentation mask or cell table
hubmap_hbm499_plqb_587_unspecified_uterus_na,HBM499.PLQB.587,Uterus,sprm_derivative,969582021,121,,"HuBMAP DeepCell + SPRM re-processing of HBM426.BLGP.789; SPRM layout, the CODEX/PhenoCycler adapter's domain, and the same section"
hubmap_hbm533_rpks_527_unspecified_uterus_na,HBM533.RPKS.527,Uterus,sprm_derivative,771954483,121,,"HuBMAP DeepCell + SPRM re-processing of HBM278.GHLH.482; SPRM layout, the CODEX/PhenoCycler adapter's domain, and the same section"
hubmap_hbm534_hzvt_527_unspecified_uterus_na,HBM534.HZVT.527,Uterus,sprm_derivative,762044603,121,,"HuBMAP DeepCell + SPRM re-processing of HBM594.GWVL.995; SPRM layout, the CODEX/PhenoCycler adapter's domain, and the same section"
hubmap_hbm536_vggl_365_unspecified_uterus_na,HBM536.VGGL.365,Uterus,sprm_derivative,674351766,121,,"HuBMAP DeepCell + SPRM re-processing of HBM277.NSQL.526; SPRM layout, the CODEX/PhenoCycler adapter's domain, and the same section"
hubmap_hbm538_nsjl_252_unspecified_uterus_na,HBM538.NSJL.252,Uterus,sprm_derivative,868992486,121,,"HuBMAP DeepCell + SPRM re-processing of HBM496.HPHV.342; SPRM layout, the CODEX/PhenoCycler adapter's domain, and the same section"
hubmap_hbm538_vffn_553_unspecified_uterus_na,HBM538.VFFN.553,Uterus,sprm_derivative,875687957,121,,"HuBMAP DeepCell + SPRM re-processing of HBM836.RWTL.263; SPRM layout, the CODEX/PhenoCycler adapter's domain, and the same section"
hubmap_hbm554_lvxx_786_unspecified_uterus_na,HBM554.LVXX.786,Uterus,sprm_derivative,738407984,121,,"HuBMAP DeepCell + SPRM re-processing of HBM264.HHBZ.855; SPRM layout, the CODEX/PhenoCycler adapter's domain, and the same section"
hubmap_hbm554_ngkr_393_unspecified_uterus_na,HBM554.NGKR.393,Uterus,sprm_derivative,668220073,121,,"HuBMAP DeepCell + SPRM re-processing of HBM772.CSQS.353; SPRM layout, the CODEX/PhenoCycler adapter's domain, and the same section"
hubmap_hbm555_cbql_388_unspecified_uterus_na,HBM555.CBQL.388,Uterus,sprm_derivative,994787982,121,,"HuBMAP DeepCell + SPRM re-processing of HBM646.ZRTZ.549; SPRM layout, the CODEX/PhenoCycler adapter's domain, and the same section"
hubmap_hbm557_hzzh_482_unspecified_uterus_na,HBM557.HZZH.482,Uterus,sprm_derivative,814069199,121,,"HuBMAP DeepCell + SPRM re-processing of HBM944.CKWN.576; SPRM layout, the CODEX/PhenoCycler adapter's domain, and the same section"
hubmap_hbm558_jwnc_449_mibi_bone_marrow_protein,HBM558.JWNC.449,Bone Marrow,image_only,1261443949,9,,lab-processed image only: no segmentation mask or cell table
hubmap_hbm562_gvdm_422_unspecified_uterus_na,HBM562.GVDM.422,Uterus,sprm_derivative,921332629,121,,"HuBMAP DeepCell + SPRM re-processing of HBM485.ZGHC.972; SPRM layout, the CODEX/PhenoCycler adapter's domain, and the same section"
hubmap_hbm563_bttx_877_unspecified_uterus_na,HBM563.BTTX.877,Uterus,sprm_derivative,867006949,120,,"HuBMAP DeepCell + SPRM re-processing of HBM225.PQGQ.852; SPRM layout, the CODEX/PhenoCycler adapter's domain, and the same section"
hubmap_hbm573_lqqf_645_unspecified_uterus_na,HBM573.LQQF.645,Uterus,sprm_derivative,983615253,121,,"HuBMAP DeepCell + SPRM re-processing of HBM735.PWVL.294; SPRM layout, the CODEX/PhenoCycler adapter's domain, and the same section"
hubmap_hbm574_ndxz_553_mibi_bone_marrow_protein,HBM574.NDXZ.553,Bone Marrow,image_only,765664466,9,,lab-processed image only: no segmentation mask or cell table
hubmap_hbm578_ppjh_439_unspecified_uterus_na,HBM578.PPJH.439,Uterus,sprm_derivative,689647071,121,,"HuBMAP DeepCell + SPRM re-processing of HBM237.DLKC.855; SPRM layout, the CODEX/PhenoCycler adapter's domain, and the same section"
hubmap_hbm578_zqrt_586_unspecified_uterus_na,HBM578.ZQRT.586,Uterus,sprm_derivative,912913328,121,,"HuBMAP DeepCell + SPRM re-processing of HBM696.QBDC.928; SPRM layout, the CODEX/PhenoCycler adapter's domain, and the same section"
hubmap_hbm583_vmrl_945_unspecified_uterus_na,HBM583.VMRL.945,Uterus,sprm_derivative,734453950,121,,"HuBMAP DeepCell + SPRM re-processing of HBM796.TZPX.595; SPRM layout, the CODEX/PhenoCycler adapter's domain, and the same section"
hubmap_hbm587_brxx_822_unspecified_uterus_na,HBM587.BRXX.822,Uterus,sprm_derivative,727693664,121,,"HuBMAP DeepCell + SPRM re-processing of HBM228.NLNS.669; SPRM layout, the CODEX/PhenoCycler adapter's domain, and the same section"
hubmap_hbm587_fkll_897_unspecified_uterus_na,HBM587.FKLL.897,Uterus,sprm_derivative,702131404,121,,"HuBMAP DeepCell + SPRM re-processing of HBM357.LSBK.728; SPRM layout, the CODEX/PhenoCycler adapter's domain, and the same section"
hubmap_hbm595_fnhh_789_unspecified_uterus_na,HBM595.FNHH.789,Uterus,sprm_derivative,744798793,121,,"HuBMAP DeepCell + SPRM re-processing of HBM862.DDDQ.629; SPRM layout, the CODEX/PhenoCycler adapter's domain, and the same section"
hubmap_hbm596_rdbw_548_unspecified_uterus_na,HBM596.RDBW.548,Uterus,sprm_derivative,878418975,121,,"HuBMAP DeepCell + SPRM re-processing of HBM964.LVPL.638; SPRM layout, the CODEX/PhenoCycler adapter's domain, and the same section"
hubmap_hbm599_kzlq_246_mibi_bone_marrow_protein,HBM599.KZLQ.246,Bone Marrow,image_only,1531298652,9,,lab-processed image only: no segmentation mask or cell table
hubmap_hbm622_ptrq_645_unspecified_uterus_na,HBM622.PTRQ.645,Uterus,sprm_derivative,1104554925,121,,"HuBMAP DeepCell + SPRM re-processing of HBM467.LMBG.759; SPRM layout, the CODEX/PhenoCycler adapter's domain, and the same section"
hubmap_hbm623_jcwz_639_mibi_bone_marrow_protein,HBM623.JCWZ.639,Bone Marrow,image_only,792318750,9,,lab-processed image only: no segmentation mask or cell table
hubmap_hbm625_czzh_873_mibi_bone_marrow_protein,HBM625.CZZH.873,Bone Marrow,image_only,639838931,9,,lab-processed image only: no segmentation mask or cell table
hubmap_hbm629_hkgz_649_unspecified_uterus_na,HBM629.HKGZ.649,Uterus,sprm_derivative,706810535,121,,"HuBMAP DeepCell + SPRM re-processing of HBM772.HCWX.787; SPRM layout, the CODEX/PhenoCycler adapter's domain, and the same section"
hubmap_hbm629_hljh_658_unspecified_uterus_na,HBM629.HLJH.658,Uterus,sprm_derivative,730813651,117,,"HuBMAP DeepCell + SPRM re-processing of HBM552.JXCB.872; SPRM layout, the CODEX/PhenoCycler adapter's domain, and the same section"
hubmap_hbm629_kzxc_984_unspecified_uterus_na,HBM629.KZXC.984,Uterus,sprm_derivative,884381046,120,,"HuBMAP DeepCell + SPRM re-processing of HBM354.SVBP.894; SPRM layout, the CODEX/PhenoCycler adapter's domain, and the same section"
hubmap_hbm632_dxdr_993_unspecified_uterus_na,HBM632.DXDR.993,Uterus,sprm_derivative,732074327,121,,"HuBMAP DeepCell + SPRM re-processing of HBM354.SLNR.553; SPRM layout, the CODEX/PhenoCycler adapter's domain, and the same section"
hubmap_hbm633_vbfp_756_unspecified_uterus_na,HBM633.VBFP.756,Uterus,sprm_derivative,821189549,121,,"HuBMAP DeepCell + SPRM re-processing of HBM224.RCHM.744; SPRM layout, the CODEX/PhenoCycler adapter's domain, and the same section"
hubmap_hbm647_qgrw_979_unspecified_uterus_na,HBM647.QGRW.979,Uterus,sprm_derivative,688369936,121,,"HuBMAP DeepCell + SPRM re-processing of HBM554.TVPR.268; SPRM layout, the CODEX/PhenoCycler adapter's domain, and the same section"
hubmap_hbm649_czjq_495_mibi_bone_marrow_protein,HBM649.CZJQ.495,Bone Marrow,image_only,1394987762,9,,lab-processed image only: no segmentation mask or cell table
hubmap_hbm652_gcsk_976_unspecified_uterus_na,HBM652.GCSK.976,Uterus,sprm_derivative,756216920,119,,"HuBMAP DeepCell + SPRM re-processing of HBM693.GXCW.762; SPRM layout, the CODEX/PhenoCycler adapter's domain, and the same section"
hubmap_hbm655_rvsp_298_unspecified_uterus_na,HBM655.RVSP.298,Uterus,sprm_derivative,1009024225,121,,"HuBMAP DeepCell + SPRM re-processing of HBM837.GSBZ.237; SPRM layout, the CODEX/PhenoCycler adapter's domain, and the same section"
hubmap_hbm662_rzhp_327_unspecified_uterus_na,HBM662.RZHP.327,Uterus,sprm_derivative,615417810,121,,"HuBMAP DeepCell + SPRM re-processing of HBM446.RBDJ.452; SPRM layout, the CODEX/PhenoCycler adapter's domain, and the same section"
hubmap_hbm665_hqwg_468_unspecified_uterus_na,HBM665.HQWG.468,Uterus,sprm_derivative,933446412,121,,"HuBMAP DeepCell + SPRM re-processing of HBM258.SWDZ.622; SPRM layout, the CODEX/PhenoCycler adapter's domain, and the same section"
hubmap_hbm666_drsd_887_unspecified_uterus_na,HBM666.DRSD.887,Uterus,sprm_derivative,801555450,121,,"HuBMAP DeepCell + SPRM re-processing of HBM368.PZJV.258; SPRM layout, the CODEX/PhenoCycler adapter's domain, and the same section"
hubmap_hbm668_wmvh_926_unspecified_uterus_na,HBM668.WMVH.926,Uterus,sprm_derivative,854937223,121,,"HuBMAP DeepCell + SPRM re-processing of HBM639.JHBT.479; SPRM layout, the CODEX/PhenoCycler adapter's domain, and the same section"
hubmap_hbm672_cxsr_737_mibi_bone_marrow_protein,HBM672.CXSR.737,Bone Marrow,image_only,1665154748,9,,lab-processed image only: no segmentation mask or cell table
